Unnamed: 0,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Doors,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Rear_Track,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Seating_Capacity,Seats_Material,Type,Start_/_Stop_Button,Audiosystem,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Distance_to_Empty,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Auto-Dimming_Rear-View_Mirror,Gear_Indicator,Engine_Immobilizer,Seat_Back_Pockets,ABS_(Anti-lock_Braking_System),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Parking_Assistance,Key_Off_Reminder,Infotainment_Screen,Multifunction_Steering_Wheel,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,ESP_(Electronic_Stability_Program),Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,price,cluster
10,Datsun,Redi-Go,1.0 S,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,22.5,,5,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1540 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,67.07,91,5,Fabric,Manual,0,CD Player with USB & Aux-in,2 years / Unlimited Kms,0,Remote_Internal_Boot_lid,222.0,0,1,1,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,1,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,5460,2
11,Datsun,Redi-Go,1.0 S Amt,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,23.0,,5,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,67.07,91,5,Fabric,Automatic,0,CD Player with USB & Aux-in,2 years / Unlimited Kms,0,Remote_Internal_Boot_lid,222.0,1,1,1,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,1,0,0,Driver frontal airbag,0,0,0,0,3,Rear sensors,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,6118,2
12,Renault,Kwid,Rxe 0.8,799,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,25.17,,6,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,53.26,72,5,Fabric,Manual,0,Not on offer,"2 Years / 50,000 Kms (Whichever comes earlier)",0,Internal_Boot_lid,300.0,0,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Internal,Digital,Manual,Digital,1,1,Co_Driver_sun_Visor,Not Applicable,1,1,1,0,1,Driver frontal airbag,1,1,1,1,1,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,4946,2
13,Renault,Kwid,Std 0.8,799,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,25.17,,5,184.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,53.26,72,5,Fabric,Manual,0,Not on offer,"2 Years / 50,000 Kms (Whichever comes earlier)",0,Internal_Boot_lid,300.0,0,0,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,0,0,1,Driver frontal airbag,0,1,1,1,1,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,3966,2
14,Renault,Kwid,Rxl 0.8,799,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,25.17,,5,184.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Smart Key,53.26,72,5,Fabric,Manual,0,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Co_Driver_sun_Visor,Not Applicable,1,1,1,0,1,Driver frontal airbag,1,1,1,1,1,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,5366,2
15,Renault,Kwid,Rxt 0.8,799,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,25.17,,5,184.0,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,53.26,72,5,Fabric,Manual,0,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal_Boot_lid,300.0,0,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Co_Driver_sun_Visor,Not Applicable,1,1,1,0,1,Driver frontal airbag,1,1,1,1,1,No_Parking_Assistance,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,1,0,0,0,0,0,0,0,5786,2
16,Renault,Kwid,Rxt 1.0,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,23.01,,5,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,67.07,91,5,Fabric,Manual,0,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,0,1,Driver frontal airbag,1,1,1,1,1,Rear sensors with camera,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,0,0,0,0,0,0,0,1,6066,2
17,Renault,Kwid,Climber 1.0 Mt,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,23.01,,5,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,67.07,91,5,Fabric,Manual,0,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,0,1,Driver frontal airbag,1,1,1,1,1,Rear sensors with camera,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,0,0,0,0,0,0,0,1,6362,2
18,Renault,Kwid,Rxt Amt 1.0,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,24.04,,5,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,67.07,91,5,Fabric,Automatic,0,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,1,1,Driver frontal airbag,1,1,1,1,1,Rear sensors with camera,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,1,0,0,0,0,1,0,1,6486,2
19,Renault,Kwid,Climber Amt 1.0,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,24.04,,5,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,67.07,91,5,Fabric,Automatic,0,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,0,1,Driver frontal airbag,1,1,1,1,1,Rear sensors with camera,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,1,0,0,0,0,0,0,0,6782,2
20,Renault,Kwid,Rxt (O) 1.0,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,23.01,,5,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,67.07,91,5,Fabric,Manual,0,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,0,1,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,2,Rear sensors with camera,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,0,0,0,0,0,0,0,1,6173,2
21,Renault,Kwid,Rxt (O) Amt 1.0,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,23.01,,5,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,67.07,91,5,Fabric,Automatic,0,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,0,1,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,2,Rear sensors with camera,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,0,0,0,0,0,0,0,1,6593,2
22,Renault,Kwid,Climber (O) Mt 1.0,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,23.01,,5,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,All_Power_Windows,1,Remote,67.07,91,5,Fabric,Manual,0,CD Player with USB & Aux-in,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,0,1,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,2,Rear sensors with camera,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,0,0,0,0,0,0,0,1,6470,2
23,Renault,Kwid,Climber (O) Amt 1.0,999,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,24.04,,5,184.0,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,1540 ,Electric_Power_Steering,All_Power_Windows,1,Remote,67.07,91,5,Fabric,Automatic,0,CD/MP3/DVD Player with USB & Aux-in,2 years / Unlimited Kms,1,Internal_Boot_lid,300.0,1,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Digital,Manual,Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,0,1,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,2,Rear sensors with camera,0,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,1,0,0,0,0,0,0,0,6890,2
24,Maruti Suzuki,Eeco,5 Str,1196,4,4.0,RWD (Rear Wheel Drive),"Front, Longitudinal",Injection,40.0,Petrol,MPV,5,15.0,,5,160.0,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1290 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,72.0,101,5,Fabric,Manual,0,Not on offer,2 years /40000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,400.0,0,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Manual,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,,1,0,0,0,1,Driver frontal airbag,0,1,0,0,1,Rear sensors,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,4929,2
25,Maruti Suzuki,Eeco,7 Str,1196,4,4.0,FWD (Front Wheel Drive),"Front, Longitudinal",Injection,40.0,Petrol,MPV,5,15.0,,5,160.0,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1290 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,72.99,101,7,Fabric,Manual,0,Not on offer,2 years /40000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,250.0,0,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,0,0,0,1,Driver frontal airbag,0,1,0,0,1,Rear sensors,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,5328,2
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,1196,4,4.0,RWD (Rear Wheel Drive),"Front, Longitudinal",Injection,40.0,Petrol,MPV,5,15.0,,5,160.0,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1290 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,72.0,101,5,Fabric,Manual,0,Not on offer,2 years /40000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,400.0,0,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Manual,Digital,Manual,Analog + Digital,1,1,Co_Driver_sun_Visor,Not Applicable,1,0,0,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,5501,2
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,1196,4,4.0,RWD (Rear Wheel Drive),"Front, Longitudinal",Injection,40.0,CNG,MPV,5,3.977853492333897,20 km/kg,5,160.0,Ventilated Disc,Drum,McPherson Strut,3 Link Rigid,1290 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,61.15,85,5,Fabric,Manual,0,Not on offer,2 years /40000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,400.0,0,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Manual,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,0,0,0,1,Driver frontal airbag,0,1,0,0,1,Rear sensors,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,6524,2
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,1196,4,4.0,RWD (Rear Wheel Drive),"Front, Longitudinal",Injection,40.0,CNG,MPV,5,3.977853492333897,20 km/kg,5,160.0,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1290 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,61.15,85,5,Fabric,Manual,0,Not on offer,2 years /40000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,400.0,0,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Manual,Digital,Manual,Analog + Digital,1,0,Driver_Front_sun_Visor,Not Applicable,1,0,0,0,1,Driver frontal airbag,0,1,0,0,1,Rear sensors,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,5953,2
29,Maruti Suzuki,Alto K10,Lxi,998,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,35.0,Petrol,Hatchback,5,24.07,,5,160.0,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,1290 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,67.07,90,5,Fabric,Manual,0,Not on offer,2 years /40000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,177.0,0,1,0,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,0,1,0,1,Driver frontal airbag,0,1,0,0,1,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,5286,2
